学生番号,氏名,入学年度,クラス
2231101,山田太郎,2023,131
2231102,佐藤花子,2023,131
2231103,鈴木一郎,2023,131
2231104,田中美咲,2023,131
2231105,伊藤健太,2023,131
2231106,渡辺さくら,2023,131
2231107,中村大輝,2023,131
2231108,小林麻衣,2023,131
2231109,加藤翔太,2023,131
2231110,吉田あおい,2023,131
2231201,松本拓也,2023,132
2231202,井上菜々,2023,132
2231203,木村雄介,2023,132
2231204,林ゆかり,2023,132
2231205,清水大和,2023,132
2231206,山口彩花,2023,132
2231207,池田颯太,2023,132
2231208,橋本紫苑,2023,132
2231209,石川悠人,2023,132
2231210,前田結衣,2023,132
2221101,高橋俊介,2022,131
2221102,中島莉奈,2022,131
2221103,小川蓮,2022,131
2221104,藤田希,2022,131
2221105,岡田悠斗,2022,131
2241101,村田光,2024,131
2241102,杉山彩,2024,131
2241103,近藤陸,2024,131
2241104,斉藤凛,2024,131
2241105,坂本龍,2024,131
